#,Job_ID,WeatherFile,ModelFile,@@EP9_IHG@@,@@EP10_VRate@@,@@EP11_Inf@@,@@EP12_C_SP@@,@@EP14_Gla@@,@@EP15_Rat@@,@@EP16_RA@@,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: A1_Ele_Cool_[kWh],c1: A2_Ele_Fan_[kWh],c2: A3_Ele_Pumps_[kWh],c3: A4_Ele_Heat Rejection_[kWh],c4: A5_Ele_Plant[kWh],c5: A6_Ele_CoolEnTransfer[kWh],c6: A7_Ele_CoolCoil[kWh],c7: A8_Cool_Chiller[kWh],c8: A9_HRej[kWh],c9: P1_Ele_Cool_[W],c10: P2_Ele_Fan_[W],c11: P3_Ele_Pumps_[W],c12: P4_Ele_Heat Rejection_[W],c13: P5_Ele_Plant[W],c14: P6_Ele_CoolEnTransfer[W],c15: P7_Ele_CoolCoil[W],c16: P8_Cool_Chiller[W],c17: P9_HRej[W],c18: O1_Floor Area[m2],c19: O2_Time_PlantLoop,c20: O3_Time_SensLoads,c21: O4_Time_EleUse
10,Case11,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0089444,0.00012,25.333,0.4,1,2.3,1,1,12,5.8889,27,6,1.0444,0.33333,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,7.95,759.41,34833.16,36953.11,24.74,37737.29,8842.39,1445.29,1545.76,4878.31,27710.5,3976.39,8832.24,942.42,37485.16,149651.84,153635.64,156122.72,183833.21,3680,0,0,0
11,Case12,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,25.333,0.4,1,2.3,1,1,12,5.8889,27,6,1.0444,0.33333,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,8.04,789.44,12961.72,10880.36,23.5,11693.31,4820.64,1432.65,1537.12,5071.32,14897.8,1479.65,4685.42,514.42,20097.65,81819.51,83281.03,84680.01,99577.81,3680,0,0,0
12,Case13,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,20.889,0.4,1,2.3,1,1,12,5.8889,27,6,1.0444,0.33333,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.68,19992.99,12961.72,17317.57,476.4,37786.99,33322.79,31804.98,34459.31,128467.41,37512.27,1479.65,10431.27,1717.41,49660.95,190484.77,223951.73,227070.04,264582.31,3680,0,0,0
13,Case14,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,20.889,0.4,1,2.3,1,1,12,5.8889,27,6,1.2667,0.33333,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.61,24218.01,12961.72,18743.82,575.57,43537.44,33322.79,31804.98,35027.22,155493.12,40154.04,1479.65,12649.92,1716.59,54520.55,190484.77,223951.74,227989.39,268143.44,3680,0,0,0
14,Case15,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,20.889,0.4,1,2.3,1,1,12,5.8889,27,4.0556,1.2667,0.33333,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.95,35828.99,12961.72,19055.1,620.91,55505.04,33322.79,31804.98,35027.22,167104.12,59405.33,1479.65,13134.43,1840.83,74380.59,190484.77,223951.74,227989.39,287394.73,3680,0,0,0
15,Case16,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,20.889,0.4,1,2.3,1,1,12,8.1111,27,4.0556,1.2667,0.33333,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.88,35512,12961.72,19055.33,666.02,55233.38,33322.57,31600.21,34821.27,174501.77,55271.6,1479.65,13133.97,1731.62,70137.19,190485.88,211763.32,215883.86,271640.9,3680,0,0,0
16,Case17,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,20.889,0.4,1,2.3,1,1,12,8.1111,27,4.0556,1.2667,0.16667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.64,27237.82,12961.72,19052.95,169.36,46460.16,33322.57,31600.21,34821.27,98894.37,55209.73,1479.65,13133.92,1720.06,70063.71,190485.88,211763.32,215883.86,271093.59,3680,0,0,0
17,Case18,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,56.667,0.0036667,0.00012,20.889,0.4,1,2.3,1,1,12,8.1111,27,4.0556,1.2667,0.16667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,11.86,230179.2,20996.71,72534.48,592.46,303306.39,326345.63,333524.28,360670.16,848636.12,90228.89,2396.88,19208.94,3053.44,112491.27,334081.13,373887.91,380323.05,470551.94,3680,0,0,0
18,Case19,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,80,0.0036667,0.00012,24.444,0.4,1,0.1,1,1,12,5.8889,27,3.6667,1.4,0.26667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,11.64,12327.62,698.57,2974.23,100.43,15402.29,13028.44,13090.45,14204.84,48879.82,5314.57,79.74,996.51,159.32,6470.4,16862.58,18916.24,19244.97,24559.53,160,0,0,0
19,Case20,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,80,0.0036667,0.00012,24.444,0.4,1,0.1,1,1,12,5.8889,27,3.6667,1.4,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,11.54,9815.08,698.57,2973.11,21.64,12809.85,13028.44,13090.45,14204.84,27677.18,5314.57,79.74,996.51,159.32,6470.4,16862.58,18916.24,19244.97,24559.53,160,0,0,0
