#,Job_ID,WeatherFile,ModelFile,@@EP9_IHG@@,@@EP10_VRate@@,@@EP11_Inf@@,@@EP12_C_SP@@,@@EP14_Gla@@,@@EP15_Rat@@,@@EP16_RA@@,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: A1_Ele_Cool_[kWh],c1: A2_Ele_Fan_[kWh],c2: A3_Ele_Pumps_[kWh],c3: A4_Ele_Heat Rejection_[kWh],c4: A5_Ele_Plant[kWh],c5: A6_Ele_CoolEnTransfer[kWh],c6: A7_Ele_CoolCoil[kWh],c7: A8_Cool_Chiller[kWh],c8: A9_HRej[kWh],c9: P1_Ele_Cool_[W],c10: P2_Ele_Fan_[W],c11: P3_Ele_Pumps_[W],c12: P4_Ele_Heat Rejection_[W],c13: P5_Ele_Plant[W],c14: P6_Ele_CoolEnTransfer[W],c15: P7_Ele_CoolCoil[W],c16: P8_Cool_Chiller[W],c17: P9_HRej[W],c18: O1_Floor Area[m2],c19: O2_Time_PlantLoop,c20: O3_Time_SensLoads,c21: O4_Time_EleUse
1890,1891,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,69.50862441,0.00312563,0.00012,21.39750297,0.4,1,8.684935251,1,1,12,7.473109563,27,5.041032157,1.044635121,0.169898215,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12.73,897947.08,76872.49,326074.11,3965.67,1227987.84,2179356.26,2234247.63,2360863.78,4101206.98,266949.72,8775.4,56786.67,11300.15,335036.55,1310522.46,1463608.84,1482471.16,1749420.88,13895.9,0,0,0
1891,1892,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,77.85319738,0.007921643,0.00012,20.9376499,0.4,1,5.515551642,1,1,12,7.027994755,27,2.590728662,1.241268258,0.102778289,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,9.44,764972.32,81242.16,202212.23,1337.17,968522.5,653862.92,659745.57,722350.93,1750428.12,581995.35,9274.22,84796.45,13605.33,680397.13,1304076.64,1494756.36,1520463.77,2102459.13,8824.88,0,0,0
1892,1893,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,78.87715563,0.004484953,0.00012,25.81574791,0.4,1,2.74715334,1,1,12,8.194803719,27,5.713568331,1.0497696,0.232197949,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.99,68470.3,13262.69,26885.53,880.86,96236.77,140129.3,137191.49,147387.34,384056.34,62908.63,1514.01,16751.65,2935.78,82596.06,363949.45,383767.16,389041.22,451949.85,4395.45,0,0,0
1893,1894,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,56.81189809,0.003057945,0.00012,25.27183424,0.4,1,0.359310231,1,1,12,6.808688616,27,5.28990278,1.072716139,0.199670667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,9.16,7297.72,1457.08,2777.01,61.44,10136.17,15092.12,14826.77,15875.74,35201.02,7521.85,166.33,1760.45,323.99,9606.29,38128.01,41852.88,42409.86,49931.71,574.9,0,0,0
1894,1895,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,29.7731365,0.009432843,0.00012,25.22347918,0.4,1,5.217609641,1,1,12,8.781555,27,2.519306325,1.181534826,0.285838251,1.1,50,EnergyPlus Completed Successfully,3,6,0,0,7.49,11728.48,79290.87,79819.74,172.16,91720.47,27822.6,8431.31,9139.92,38473.04,201068.94,9051.47,33049.73,3356.61,237475.28,455880.92,464988,474350.11,675419.05,8348.17,0,0,0
1895,1896,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,22.15922458,0.005716979,0.00012,22.04102323,0.4,1,2.067715447,1,1,12,8.040838831,27,4.996936651,1.341511232,0.224907062,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.46,14921.13,18732.55,22042.62,222.86,37186.64,22903.56,19056.16,21046.13,73000.81,50127.71,2138.42,15699.31,1286.96,67113.97,213525.65,215681.14,221158.5,271286.21,3308.34,0,0,0
1896,1897,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,79.03285293,0.002021248,0.00012,22.75328446,0.4,1,7.892733245,1,1,12,5.46507895,27,4.922334603,1.007250225,0.250733996,1.1,50,EnergyPlus Completed Successfully,7,6,0,0,15.79,1187578.49,55695.87,357956.75,7718.88,1553255.37,3585041.27,3661278.27,3799035.87,6012340.22,244432.54,6357.98,41989.86,9567.01,295989.4,1120750.9,1253301.36,1267167.39,1511599.92,12628.37,0,0,0
1897,1898,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,27.25848203,0.003493529,0.00012,22.03278837,0.4,1,4.87392751,1,1,12,8.882113683,27,4.732923709,1.097966692,0.249523868,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.17,53862.45,22715.09,31178.47,825.19,85866.18,80454.9,76369.23,82846.26,268764.07,90347.6,2593.05,22646.02,3440.5,116434.12,403396.45,434792.25,441856.42,532204.02,7798.28,0,0,0
1898,1899,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,13.59748703,0.002767122,0.00012,23.26845961,0.4,1,2.06412133,1,1,12,8.892821242,27,5.018539109,1.144938428,0.261231242,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.63,2659.9,8860.6,7869.89,55.6,10585.39,6355.27,4336.54,4668.82,14204.41,19288.75,1011.48,5638.91,565.52,25493.18,89889.54,90889.43,92760.16,112048.91,3302.59,0,0,0
1899,1900,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,43.34256224,0.008181207,0.00012,23.19876862,0.4,1,4.66403033,1,1,12,7.103265225,27,3.929613319,1.365402791,0.350008117,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.7,68926.91,56354.35,62952.35,1380.49,133259.86,71647.28,57005.28,62895.36,329492.76,220096.57,6433.14,49522.3,6735.98,276354.84,662393.06,668803.18,685573.12,1052131.43,7462.45,0,0,0
1900,1901,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,18.98331103,0.007197999,0.00012,22.51821013,0.4,1,3.942887999,1,1,12,7.536293108,27,3.324099226,1.110540145,0.292002578,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.72,23461.45,46824.53,51964.76,378.43,75804.69,31313.52,21982.26,23845.68,93166.31,136725.8,5345.27,27549.06,2862.39,167137.25,416130.17,421391.96,430150.83,566876.63,6308.62,0,0,0
1901,1902,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,59.81014053,0.008259556,0.00012,24.05198841,0.4,1,0.164187511,1,1,12,7.172597374,27,2.750459364,1.329159906,0.165603726,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.06,4063.32,1936.21,2300.72,22.06,6386.1,3842.82,3240.17,3565.78,11150.78,11428.37,221.03,2000.27,200.83,13629.47,28047.34,28264.12,28910.83,40339.2,262.7,0,0,0
1902,1903,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,66.38092811,0.00254466,0.00012,25.72544998,0.4,1,0.858070831,1,1,12,7.997939346,27,2.620213043,1.366718979,0.258285243,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,10.84,97575.48,3450.63,17988.77,653.56,116217.9,75036.49,75499.91,81950.22,313907.34,38079.57,393.91,5676.17,909.03,44664.76,93608.1,100546.33,102337.74,140417.31,1372.91,0,0,0
1903,1904,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,68.67971309,0.001171006,0.00012,27.06716275,0.4,1,6.042802361,1,1,12,6.191790001,27,4.33097368,1.259535337,0.339367421,1.1,50,EnergyPlus Completed Successfully,7,6,0,0,15.52,840183.86,18254.11,207814.45,6958.71,1054957.86,1619825.77,1640415.71,1719698.7,4199115.34,132849.55,2083.8,25000.03,4793.55,162643.13,548738.83,597304.2,605908.58,738758.14,9668.48,0,0,0
1904,1905,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,79.12367521,0.002851314,0.00012,24.30788576,0.4,1,9.238965863,1,1,12,8.5699584,27,4.4144747,1.363186684,0.234854438,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,12,1243798.98,53020.18,372530.29,7000.29,1623330.86,1933272.78,1962021.79,2105139.46,5695209.37,300322.75,6052.53,70053.58,10857.42,381233.75,1260834.38,1350085.92,1374310.03,1674632.78,14782.35,0,0,0
1905,1906,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,78.96837851,0.005475552,0.00012,26.23971101,0.4,1,0.767930414,1,1,12,7.815763993,27,3.389614839,1.322283018,0.257156582,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.29,23093.49,3940.84,6339.18,270.54,29703.23,22503.21,21061.34,23042.57,88869.68,33117.76,449.87,6620.86,906.51,40645.13,104739.87,107025.08,109098.12,142215.89,1228.69,0,0,0
1906,1907,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,70.82187071,0.004627285,0.00012,26.74745679,0.4,1,4.835403871,1,1,12,8.708965201,27,2.62532356,1.116624395,0.314319711,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.94,116959.65,18988.15,23319.18,1514.85,141793.79,96560.04,89351.33,96377.87,408431.19,193268.27,2167.6,28771.34,3815.56,225855.17,515236.19,517414.07,526296.41,719564.68,7736.65,0,0,0
1907,1908,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,38.13999164,0.008957707,0.00012,26.91926518,0.4,1,2.537484343,1,1,12,5.853599034,27,5.20588598,1.229199227,0.181067983,1.1,50,EnergyPlus Completed Successfully,1,7,0,0,7.58,768.37,35172.69,32113.09,12.74,32894.23,11591.3,1470.93,1580.46,3464.98,36193.44,4015.15,10746.44,1015.38,47955.27,161746.43,165770.44,168866.76,205060.2,4059.97,0,0,0
1908,1909,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,55.56178347,0.00426826,0.00012,25.90297499,0.4,1,2.427001549,1,1,12,6.053568279,27,2.662459265,1.231690274,0.310136187,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.9,45180.74,10451.33,11025.51,554.34,56760.63,34967.2,31209.37,33977.15,150960.68,92006.9,1193.07,14302.17,1676.96,107986.03,226228.27,227420.55,231933.56,323940.46,3883.2,0,0,0
1909,1910,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,29.49755447,0.004247933,0.00012,24.87037779,0.4,1,9.612895384,1,1,12,6.130483354,27,4.14438785,1.083998054,0.191107072,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.44,15106.14,56128.38,43905.53,172.16,59183.88,42942.35,26033.51,27746.94,58177.89,150145.96,6407.35,33904.62,3862.64,187913.23,577531.38,583980.18,594622.99,744768.95,15380.63,0,0,0
